time,local_time,radiation_surface
2014-01-01 00:00,2014-01-01 10:30,917.634
2014-01-01 01:00,2014-01-01 11:30,974.335
2014-01-01 02:00,2014-01-01 12:30,1061.812
2014-01-01 03:00,2014-01-01 13:30,1049.727
2014-01-01 04:00,2014-01-01 14:30,922.946
2014-01-01 05:00,2014-01-01 15:30,739.777
2014-01-01 06:00,2014-01-01 16:30,456.192
2014-01-01 07:00,2014-01-01 17:30,227.975
2014-01-01 08:00,2014-01-01 18:30,109.244
2014-01-01 09:00,2014-01-01 19:30,12.742
2014-01-01 10:00,2014-01-01 20:30,0
2014-01-01 11:00,2014-01-01 21:30,0
2014-01-01 12:00,2014-01-01 22:30,0
2014-01-01 13:00,2014-01-01 23:30,0
2014-01-01 14:00,2014-01-02 00:30,0
2014-01-01 15:00,2014-01-02 01:30,0
2014-01-01 16:00,2014-01-02 02:30,0
2014-01-01 17:00,2014-01-02 03:30,0
2014-01-01 18:00,2014-01-02 04:30,0
2014-01-01 19:00,2014-01-02 05:30,7.938
2014-01-01 20:00,2014-01-02 06:30,128.825
2014-01-01 21:00,2014-01-02 07:30,280.157
2014-01-01 22:00,2014-01-02 08:30,496.190
2014-01-01 23:00,2014-01-02 09:30,682.352
2014-01-02 00:00,2014-01-02 10:30,880.736
2014-01-02 01:00,2014-01-02 11:30,1044.404
2014-01-02 02:00,2014-01-02 12:30,1102.444
2014-01-02 03:00,2014-01-02 13:30,1042.052
2014-01-02 04:00,2014-01-02 14:30,964.460
2014-01-02 05:00,2014-01-02 15:30,687.466
2014-01-02 06:00,2014-01-02 16:30,307.007
2014-01-02 07:00,2014-01-02 17:30,125.193
2014-01-02 08:00,2014-01-02 18:30,50.794
2014-01-02 09:00,2014-01-02 19:30,5.443
2014-01-02 10:00,2014-01-02 20:30,0
2014-01-02 11:00,2014-01-02 21:30,0
2014-01-02 12:00,2014-01-02 22:30,0
2014-01-02 13:00,2014-01-02 23:30,0
2014-01-02 14:00,2014-01-03 00:30,0
2014-01-02 15:00,2014-01-03 01:30,0
2014-01-02 16:00,2014-01-03 02:30,0
2014-01-02 17:00,2014-01-03 03:30,0
2014-01-02 18:00,2014-01-03 04:30,0
2014-01-02 19:00,2014-01-03 05:30,9.765
2014-01-02 20:00,2014-01-03 06:30,152.991
2014-01-02 21:00,2014-01-03 07:30,378.932
2014-01-02 22:00,2014-01-03 08:30,606.053
2014-01-02 23:00,2014-01-03 09:30,805.457
2014-01-03 00:00,2014-01-03 10:30,954.480
2014-01-03 01:00,2014-01-03 11:30,993.664
2014-01-03 02:00,2014-01-03 12:30,984.091
2014-01-03 03:00,2014-01-03 13:30,930.875
2014-01-03 04:00,2014-01-03 14:30,840.276
2014-01-03 05:00,2014-01-03 15:30,787.698
2014-01-03 06:00,2014-01-03 16:30,643.244
2014-01-03 07:00,2014-01-03 17:30,427.315
2014-01-03 08:00,2014-01-03 18:30,197.354
2014-01-03 09:00,2014-01-03 19:30,21.931
2014-01-03 10:00,2014-01-03 20:30,0
2014-01-03 11:00,2014-01-03 21:30,0
2014-01-03 12:00,2014-01-03 22:30,0
2014-01-03 13:00,2014-01-03 23:30,0
2014-01-03 14:00,2014-01-04 00:30,0
