HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
08-11-18 00.00;08-11-18 01.00;DK1;1874.28;389.98;86.43;-426.00;-116.00;1230.00
08-11-18 01.00;08-11-18 02.00;DK1;1829.12;387.52;81.81;-385.00;-279.00;1215.00
08-11-18 02.00;08-11-18 03.00;DK1;1854.12;370.40;85.93;-360.00;-454.00;1228.00
08-11-18 03.00;08-11-18 04.00;DK1;1903.31;351.96;92.65;-357.00;-470.00;1306.00
08-11-18 04.00;08-11-18 05.00;DK1;2059.45;352.53;118.33;-345.00;-588.00;1405.00
08-11-18 05.00;08-11-18 06.00;DK1;2469.53;355.80;121.41;-300.00;-586.00;1486.00
08-11-18 06.00;08-11-18 07.00;DK1;2819.74;325.88;108.59;-279.00;-583.00;1689.00
08-11-18 07.00;08-11-18 08.00;DK1;2904.26;341.99;95.45;-279.00;-590.00;1700.00
08-11-18 08.00;08-11-18 09.00;DK1;2928.86;333.61;130.09;-244.00;-590.00;1771.00
08-11-18 09.00;08-11-18 10.00;DK1;2963.54;302.16;93.51;-192.00;-588.00;1877.00
08-11-18 10.00;08-11-18 11.00;DK1;2927.63;306.95;79.75;-276.00;-590.00;1878.00
08-11-18 11.00;08-11-18 12.00;DK1;2848.92;339.11;91.00;-243.00;-590.00;1838.00
08-11-18 12.00;08-11-18 13.00;DK1;2852.56;433.71;88.03;-264.00;-590.00;1758.00
08-11-18 13.00;08-11-18 14.00;DK1;2800.46;432.46;75.46;-266.00;-590.00;1547.00
08-11-18 14.00;08-11-18 15.00;DK1;2702.22;359.96;67.75;-48.00;-590.00;1406.00
08-11-18 15.00;08-11-18 16.00;DK1;2776.51;264.96;39.51;-178.00;-590.00;1654.00
08-11-18 16.00;08-11-18 17.00;DK1;3029.11;259.94;51.16;-152.00;-590.00;1701.00
08-11-18 17.00;08-11-18 18.00;DK1;2904.03;271.24;43.34;-223.00;-522.00;1785.00
08-11-18 18.00;08-11-18 19.00;DK1;2704.82;247.27;50.08;-278.00;-576.00;1760.00
08-11-18 19.00;08-11-18 20.00;DK1;2564.67;172.08;51.06;-310.00;-485.00;1776.00
08-11-18 20.00;08-11-18 21.00;DK1;2384.91;125.68;32.25;-426.00;-292.00;1851.00
08-11-18 21.00;08-11-18 22.00;DK1;2213.37;80.22;22.09;-419.00;-349.00;1876.00
08-11-18 22.00;08-11-18 23.00;DK1;2037.01;32.44;18.94;-319.00;-329.00;1823.00
08-11-18 23.00;09-11-18 00.00;DK1;1930.51;8.56;9.54;-372.00;-182.00;1705.00
09-11-18 00.00;09-11-18 01.00;DK1;1942.76;5.15;0.12;-379.00;-183.00;1739.00
09-11-18 01.00;09-11-18 02.00;DK1;1856.16;4.94;0.09;-343.00;-111.00;1528.00
09-11-18 02.00;09-11-18 03.00;DK1;1864.66;5.10;4.33;-384.00;-74.00;1511.00
09-11-18 03.00;09-11-18 04.00;DK1;1923.32;8.58;11.90;-383.00;-26.00;1625.00
09-11-18 04.00;09-11-18 05.00;DK1;2055.38;50.19;24.46;-368.00;-119.00;1645.00
09-11-18 05.00;09-11-18 06.00;DK1;2465.67;120.54;31.72;-348.00;-579.00;1823.00
09-11-18 06.00;09-11-18 07.00;DK1;2818.74;148.14;45.32;-290.00;-588.00;1863.00
09-11-18 07.00;09-11-18 08.00;DK1;2907.19;189.19;54.79;-241.00;-590.00;1851.00
09-11-18 08.00;09-11-18 09.00;DK1;2893.46;196.73;71.03;-243.00;-590.00;1874.00
09-11-18 09.00;09-11-18 10.00;DK1;2926.16;180.32;88.82;-285.00;-590.00;1871.00
09-11-18 10.00;09-11-18 11.00;DK1;2865.23;165.05;100.62;-276.00;-590.00;1552.00
09-11-18 11.00;09-11-18 12.00;DK1;2755.56;225.46;154.78;-264.00;-590.00;1444.00
09-11-18 12.00;09-11-18 13.00;DK1;2709.48;310.66;167.81;-330.00;-590.00;1657.00
09-11-18 13.00;09-11-18 14.00;DK1;2642.78;419.22;212.99;-395.00;-590.00;1836.00
09-11-18 14.00;09-11-18 15.00;DK1;2596.19;553.22;209.62;-438.00;-590.00;1675.00
09-11-18 15.00;09-11-18 16.00;DK1;2678.76;698.59;252.46;-409.00;-571.00;1188.00
09-11-18 16.00;09-11-18 17.00;DK1;2854.24;777.16;299.77;-1174.00;-409.00;1804.00
09-11-18 17.00;09-11-18 18.00;DK1;2719.46;870.00;404.13;-1198.00;-580.00;1679.00
09-11-18 18.00;09-11-18 19.00;DK1;2488.55;972.41;494.75;-1030.00;-580.00;1383.00
09-11-18 19.00;09-11-18 20.00;DK1;2378.49;1014.06;530.97;-1008.00;-588.00;1603.00
09-11-18 20.00;09-11-18 21.00;DK1;2228.39;1014.09;550.90;-917.00;-561.00;1324.00
