  
 Results from TRNSYS Input File: 
 C:\Users\s192476\Downloads\47330SDHCal\47330SDHCal\47330-MarstalSunstore4.trd 
                                                                               
                                                                               
                                                                   
 Initiated at time: 2019-11-21 AT  15:54:54
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7600000000000000E+03	  -1.6119124735156033E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3714882758751137E+03	  +1.6174799996537408E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.3345604474202803E+04	  -8.2034808480442989E+03	  -1.1798123837192390E+04	  +1.1240428242030339E+08	  +4.2872237135427604E+01	  +5.6676245944534784E+01	  +3.9979685622613637E+01	  +1.8757867813110352E+00	
  +8.7610000000000000E+03	  -1.7085244782771174E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3706412810383954E+03	  +1.6174803707242521E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0840168921996097E+04	  -7.6844875090330679E+03	  -1.1216593434049606E+04	  +1.1189198541563864E+08	  +4.2813570255609307E+01	  +5.6383749493458453E+01	  +3.9977664155222897E+01	  +4.2844090461730957E+00	
  +8.7620000000000000E+03	  -1.6720514910996173E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3719702112460946E+03	  +1.6174799796681896E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.8925785605895697E+04	  -7.2997256645964280E+03	  -1.0755762886790537E+04	  +1.1113518443349482E+08	  +4.2726903435656190E+01	  +5.6033593813560003E+01	  +3.9980835826363005E+01	  +6.0747399330139160E+00	
  +8.7630000000000000E+03	  -1.6536169152401334E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3711211817893145E+03	  +1.6174800138085742E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9235628327514169E+04	  -7.3812576282471637E+03	  -1.0799591029282843E+04	  +1.1063968265814231E+08	  +4.2670159900480961E+01	  +5.5856439076621058E+01	  +3.9978809503077130E+01	  +5.6940102577209473E+00	
  +8.7640000000000000E+03	  -1.6422707710089024E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3720658137224309E+03	  +1.6174799926549904E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9527633505194237E+04	  -7.4544601671202472E+03	  -1.0848805517043846E+04	  +1.1029099033726010E+08	  +4.2630228590525036E+01	  +5.5747272783455230E+01	  +3.9981063994564273E+01	  +5.3562502861022949E+00	
  +8.7650000000000000E+03	  -1.6346597814334366E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3709469917768783E+03	  +1.6174800157155357E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -3.9850772219212864E+04	  -7.5305832777024771E+03	  -1.0909714613387861E+04	  +1.1003415331689259E+08	  +4.2600816303376000E+01	  +5.5673935822634952E+01	  +3.9978393775123820E+01	  +5.0000000000000000E+00	
  +8.7660000000000000E+03	  -1.6293186762587806E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3718474711444760E+03	  +1.6174799460356742E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0227632826009627E+04	  -7.6171628545299263E+03	  -1.0984730871019092E+04	  +1.0984244234637055E+08	  +4.2578862076892037E+01	  +5.5622375110122846E+01	  +3.9980542890559605E+01	  +4.6000003814697266E+00	
  +8.7670000000000000E+03	  -1.6254330744717121E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3706545194784194E+03	  +1.6174800247656532E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0565546322522656E+04	  -7.6932478754524491E+03	  -1.1053334878409303E+04	  +1.0969476328858028E+08	  +4.2561950267031406E+01	  +5.5584779820128418E+01	  +3.9977695750545159E+01	  +4.2437500953674316E+00	
  +8.7680000000000000E+03	  -1.6224452089630116E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -8.3674550832063451E+03	  +1.6174800660135057E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -4.0889354567197326E+04	  -7.7646015564956715E+03	  -1.1120093464519159E+04	  +1.0958171786543092E+08	  +4.2549004608178194E+01	  +5.5555800429280183E+01	  +3.9970059864454285E+01	  +3.9046874046325684E+00	
