  
 Results from TRNSYS Input File: 
 C:\Users\gawa\Desktop\Course in DTU\47330 energy storage and conversion\Lectur
 es\Lecture 08\47330SDHCal\47330-MarstalSunstore4.trd                          
                                                                               
                                                                   
 Initiated at time: 2019-11-28 AT  14:37:20
 TIME                    	Power_port_1             	Power_port_2             	Power_port_3             	Power_port_4             	Power_port_5             	Power_hx_1               	Power_hx_2               	Power_hx_3               	Heatloss_whole           	Heatloss_bot             	Heatloss_top             	Energy_change            	Mean_temperature         	Max_T                    	Min_T                    	Tambient                 	
 HOURS              	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ/hr               	kJ                  	C                   	C                   	C                   	C                   	
  +8.7600000000000000E+03	  -1.1266985478402827E+07	  -2.2251726214638837E+06	  +0.0000000000000000E+00	  -9.5338543339963453E+03	  +1.3734959046684647E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.6822409142281365E+04	  -8.8007328990218302E+03	  -1.5429321566108700E+04	  +2.5423303948745149E+08	  +5.9114086238336156E+01	  +7.3542597374901106E+01	  +4.2753828959418492E+01	  +1.8757867813110352E+00	
  +8.7610000000000000E+03	  -1.2212371020473046E+07	  -2.4207495521161207E+06	  +0.0000000000000000E+00	  -9.5148260450741473E+03	  +1.3903800495279986E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4380854339805068E+04	  -8.2723975673516507E+03	  -1.4907859295573382E+04	  +2.5392247586971071E+08	  +5.9078521325264184E+01	  +7.3529108102711106E+01	  +4.2708415382038545E+01	  +4.2844090461730957E+00	
  +8.7620000000000000E+03	  -1.2314206825477159E+07	  -2.3482332139434824E+06	  +0.0000000000000000E+00	  -9.4869757502616158E+03	  +1.4124949120567426E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2524610398780220E+04	  -7.8726427249110611E+03	  -1.4516165739775499E+04	  +2.5322694632619420E+08	  +5.8998871146231295E+01	  +7.3500083047437343E+01	  +4.2641946897999091E+01	  +6.0747399330139160E+00	
  +8.7630000000000000E+03	  -1.2346022068634523E+07	  -2.3164312777100960E+06	  +0.0000000000000000E+00	  -9.4716541338988281E+03	  +1.4231547900669077E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.2857636380121570E+04	  -7.9467383201715038E+03	  -1.4593910394891453E+04	  +2.5268088496073407E+08	  +5.8936337662316376E+01	  +7.3480465262189981E+01	  +4.2605379794507954E+01	  +5.6940102577209473E+00	
  +8.7640000000000000E+03	  -1.2372665978955066E+07	  -2.2899907488464825E+06	  +0.0000000000000000E+00	  -9.4612324556552630E+03	  +1.4307024158875022E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3157012715560675E+04	  -8.0141005714539115E+03	  -1.4663305405102596E+04	  +2.5222531789780229E+08	  +5.8884167343366954E+01	  +7.3465034372354580E+01	  +4.2580507054069841E+01	  +5.3562502861022949E+00	
  +8.7650000000000000E+03	  -1.2396292409008674E+07	  -2.2668157719040839E+06	  +0.0000000000000000E+00	  -9.4536004555665440E+03	  +1.4363136662726335E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3481020046625599E+04	  -8.0868770521365404E+03	  -1.4737143485454781E+04	  +2.5183485078733829E+08	  +5.8839452096480862E+01	  +7.3451750541162255E+01	  +4.2562292256722060E+01	  +5.0000000000000000E+00	
  +8.7660000000000000E+03	  -1.2417654736824723E+07	  -2.2460219196300362E+06	  +0.0000000000000000E+00	  -9.4477336690569773E+03	  +1.4406669064898174E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.3853133233428176E+04	  -8.1699794425850450E+03	  -1.4820658938025628E+04	  +2.5149332010012674E+08	  +5.8800340917616928E+01	  +7.3439667273677500E+01	  +4.2548290379610926E+01	  +4.6000003814697266E+00	
  +8.7670000000000000E+03	  -1.2437202394299923E+07	  -2.2271005447226563E+06	  +0.0000000000000000E+00	  -9.4430763597422047E+03	  +1.4441434049147125E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4184771083034306E+04	  -8.2442843919917505E+03	  -1.4894917997688870E+04	  +2.5118997542153603E+08	  +5.8765602698106846E+01	  +7.3428338826227758E+01	  +4.2537175082916967E+01	  +4.2437500953674316E+00	
  +8.7680000000000000E+03	  -1.2455239506442357E+07	  -2.2097194264503503E+06	  +0.0000000000000000E+00	  -9.4392909561749420E+03	  +1.4469802570130963E+07	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  -5.4501778306036322E+04	  -8.3153369887367753E+03	  -1.4965590758376629E+04	  +2.5091722369688532E+08	  +5.8734367901680919E+01	  +7.3417540170475561E+01	  +4.2528140706861436E+01	  +3.9046874046325684E+00	
