# Renewables.ninja Solar PV (Point API) - -31.958, 141.464 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Australia/Broken_Hill, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Australia/Broken_Hill", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-31.95779651345849", "lon": "141.46405310370238", "date_from": "2014-01-01", "date_to": "2014-12-31", "dataset": "merra2", "capacity": "1", "tilt": "35", "azim": "180", "system_loss": "0.05", "tracking": "2", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2014-01-01 00:00,2014-01-01 10:30,0.762,0.774,0.248,37.664
2014-01-01 01:00,2014-01-01 11:30,0.746,0.714,0.294,39.459
2014-01-01 02:00,2014-01-01 12:30,0.776,0.811,0.261,41.144
2014-01-01 03:00,2014-01-01 13:30,0.774,0.830,0.248,42.513
2014-01-01 04:00,2014-01-01 14:30,0.727,0.737,0.265,43.282
2014-01-01 05:00,2014-01-01 15:30,0.648,0.600,0.269,43.464
2014-01-01 06:00,2014-01-01 16:30,0.418,0.267,0.264,43.012
2014-01-01 07:00,2014-01-01 17:30,0.190,0.083,0.158,42.058
2014-01-01 08:00,2014-01-01 18:30,0.096,0.058,0.071,39.810
2014-01-01 09:00,2014-01-01 19:30,0.009,0.014,0.008,36.564
2014-01-01 10:00,2014-01-01 20:30,0,0,0,34.235
2014-01-01 11:00,2014-01-01 21:30,0,0,0,32.180
2014-01-01 12:00,2014-01-01 22:30,0,0,0,30.689
2014-01-01 13:00,2014-01-01 23:30,0,0,0,29.696
2014-01-01 14:00,2014-01-02 00:30,0,0,0,28.825
2014-01-01 15:00,2014-01-02 01:30,0,0,0,28.296
2014-01-01 16:00,2014-01-02 02:30,0,0,0,27.849
2014-01-01 17:00,2014-01-02 03:30,0,0,0,27.356
2014-01-01 18:00,2014-01-02 04:30,0,0,0,26.645
2014-01-01 19:00,2014-01-02 05:30,0.007,0.014,0.005,25.498
2014-01-01 20:00,2014-01-02 06:30,0.234,0.203,0.071,27.485
2014-01-01 21:00,2014-01-02 07:30,0.337,0.239,0.157,29.828
2014-01-01 22:00,2014-01-02 08:30,0.537,0.431,0.229,33.093
2014-01-01 23:00,2014-01-02 09:30,0.636,0.532,0.279,35.671
2014-01-02 00:00,2014-01-02 10:30,0.731,0.694,0.277,37.717
2014-01-02 01:00,2014-01-02 11:30,0.790,0.843,0.242,39.634
2014-01-02 02:00,2014-01-02 12:30,0.800,0.884,0.231,41.227
2014-01-02 03:00,2014-01-02 13:30,0.772,0.817,0.253,42.071
2014-01-02 04:00,2014-01-02 14:30,0.759,0.816,0.236,42.489
2014-01-02 05:00,2014-01-02 15:30,0.598,0.482,0.303,42.237
2014-01-02 06:00,2014-01-02 16:30,0.243,0.068,0.235,40.927
2014-01-02 07:00,2014-01-02 17:30,0.081,0.014,0.096,39.035
2014-01-02 08:00,2014-01-02 18:30,0.025,0.008,0.036,36.473
2014-01-02 09:00,2014-01-02 19:30,0,0.002,0.004,34.238
